"","lsoa11","samhi_dec","area_population_density_density_number_of_persons_per_hectare_measures_value","imd_score","single_hc"
"179","E01000183",3,63.7,12.39781,0.320205479452055
"180","E01000184",6,20.6,43.70145,0.274353876739563
"181","E01000185",7,117.1,35.98324,0.34983498349835
"182","E01000186",1,63.2,6.809971,0.119760479041916
"183","E01000187",2,76.8,13.87223,0.227655986509275
"184","E01000188",1,4.9,6.973128,0.135658914728682
"185","E01000189",5,111.9,42.13879,0.277074542897328
"186","E01000190",1,63.6,10.96705,0.214285714285714
"187","E01000191",1,60,9.175686,0.207547169811321
"188","E01000192",2,65.1,15.3473,0.269399707174231
"189","E01000193",1,56.2,14.19037,0.249158249158249
"190","E01000194",1,49.3,20.56914,0.242622950819672
"191","E01000195",5,56.7,29.32969,0.319942611190818
"192","E01000196",1,73.3,11.86652,0.386160714285714
"193","E01000197",1,66.1,12.57673,0.287128712871287
"194","E01000198",1,57.5,11.03838,0.271532846715328
"195","E01000199",1,47.8,8.594578,0.33532041728763
"196","E01000200",1,66.4,12.6808,0.39513325608343
"197","E01000201",1,38.9,7.741012,0.203094777562863
"198","E01000202",1,77.5,9.171186,0.246913580246914
"199","E01000203",1,56.3,22.81392,0.277324632952692
"200","E01000204",2,54.6,10.55325,0.292576419213974
"201","E01000205",1,40,6.981049,0.287560581583199
"202","E01000206",1,11.9,9.520554,0.192607003891051
"203","E01000207",1,45.6,6.627071,0.245065789473684
"204","E01000208",1,39.2,7.892189,0.25686591276252
"205","E01000209",1,38.9,8.530557,0.413654618473896
"206","E01000210",1,31.2,8.386865,0.261666666666667
"207","E01000211",1,73.5,15.94653,0.361207897793264
"208","E01000212",1,41.1,8.489413,0.223062381852552
"209","E01000213",1,33.9,9.427067,0.176344086021505
"210","E01000214",1,50.2,10.7915,0.315202231520223
"211","E01000215",1,92.9,12.03891,0.302941176470588
"212","E01000216",1,100.9,11.38214,0.266081871345029
"213","E01000217",1,80.4,10.38106,0.193857965451056
"214","E01000218",1,119.8,11.76979,0.256544502617801
"215","E01000219",1,99.6,13.64708,0.220309810671256
"216","E01000220",4,122,16.92717,0.325463743676223
"217","E01000221",5,30.7,36.67755,0.327835051546392
"218","E01000222",1,38,24.86496,0.211462450592885
"219","E01000223",4,23.6,32.67405,0.301255230125523
"220","E01000224",1,97.1,17.24843,0.223282442748092
